image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
aardvark_01b.jpg,0.013900757,0.060638428,0.9057617,0.026260376,0.006801605,0.048675537,0.040252686,0.016494751,0.027908325,0.048309326,0.005001068,0.012626648,0.0012521744,0.0077705383,0.0010509491,0.004924774,0.0045661926,0.0020942688,0.00043177605,0.006641388,0.029876709,0.02104187,0.0033245087,0.0110321045,0.0058670044,0.0049743652,0.014091492,0.0029411316,0.0362854,0.0005636215,0.009933472,0.016342163,0.03845215,0.008094788,0.013168335,0.0028953552,0.009086609,0.023864746,0.007888794,0.0059127808,0.014839172,0.0049819946,0.0109939575,0.0005726814,0.01486969,0.00283432,0.008613586,0.002872467,0.002811432
abacus_01b.jpg,0.58203125,0.034423828,0.01763916,0.08227539,0.2705078,0.034484863,0.107421875,0.063964844,0.21508789,0.022720337,0.10858154,0.19348145,0.17956543,0.07684326,0.10070801,0.02619934,0.32177734,0.118774414,0.042266846,0.0793457,0.02758789,0.03338623,0.033599854,0.06304932,0.03555298,0.109069824,0.028656006,0.17053223,0.02458191,0.013328552,0.08947754,0.13452148,0.06573486,0.0552063,0.018615723,0.044769287,0.012176514,0.05050659,0.046844482,0.029541016,0.03086853,0.059753418,0.07006836,0.10064697,0.036590576,0.015525818,0.034332275,0.042022705,0.019882202
accordion_01b.jpg,0.55078125,0.032684326,0.014129639,0.028945923,0.15600586,0.01878357,0.04296875,0.08679199,0.081848145,0.04714966,0.046539307,0.039794922,0.4465332,0.07977295,0.12475586,0.044281006,0.16015625,0.18444824,0.011314392,0.12915039,0.034423828,0.018707275,0.034301758,0.030731201,0.059661865,0.11126709,0.033355713,0.16723633,0.036956787,0.010955811,0.045532227,0.04663086,0.032226562,0.03591919,0.005973816,0.049591064,0.038391113,0.021575928,0.07763672,0.044128418,0.041809082,0.047088623,0.050048828,0.033966064,0.02041626,0.03656006,0.0158844,0.030914307,0.00932312
acorn_01b.jpg,0.15002441,0.5058594,0.23266602,0.047851562,0.05493164,0.12286377,0.21520996,0.0042304993,0.16748047,0.0335083,0.025558472,0.041656494,0.009963989,0.041809082,0.16516113,0.13024902,0.11871338,0.010139465,0.06500244,0.0435791,0.034118652,0.38476562,0.08282471,0.09338379,0.13879395,0.036590576,0.05218506,0.014503479,0.038879395,0.19458008,0.14758301,0.16235352,0.06274414,0.090148926,0.06958008,0.06567383,0.053588867,0.19433594,0.10913086,0.06793213,0.022232056,0.045532227,0.01864624,0.020019531,0.015129089,0.038879395,0.086242676,0.04095459,0.029876709
air_conditioner_01b.jpg,0.42919922,0.07922363,0.011528015,0.07836914,0.6826172,0.022476196,0.074645996,0.08947754,0.058563232,0.039642334,0.08477783,0.026000977,0.49023438,0.09875488,0.03390503,0.011291504,0.035827637,0.1685791,0.060302734,0.01737976,0.008544922,0.006969452,0.03918457,0.012191772,0.04977417,0.11218262,0.00440979,0.052246094,0.0259552,0.0016021729,0.005393982,0.030273438,0.044525146,0.02418518,0.0074157715,0.015670776,0.01574707,0.018188477,0.09466553,0.030731201,0.033477783,0.07598877,0.17138672,0.06439209,0.022460938,0.016098022,0.0075912476,0.03161621,0.014198303
air_mattress_01b.jpg,0.25024414,0.15612793,0.022247314,0.31152344,0.7080078,0.019119263,0.038757324,0.049957275,0.10522461,0.10668945,0.08660889,0.03942871,0.095703125,0.22070312,0.053894043,0.014175415,0.03515625,0.1307373,0.029586792,0.037597656,0.010307312,0.0062789917,0.030441284,0.03149414,0.055419922,0.17834473,0.013557434,0.076416016,0.022079468,0.008491516,0.003862381,0.052612305,0.035949707,0.07330322,0.004497528,0.020568848,0.03933716,0.030792236,0.06488037,0.092041016,0.06323242,0.06756592,0.110839844,0.04434204,0.017684937,0.01927185,0.010902405,0.028442383,0.0209198
air_pump_01s.jpg,0.62597656,0.009933472,0.036132812,0.05331421,0.08856201,0.033935547,0.18591309,0.18835449,0.044036865,0.06762695,0.021484375,0.015945435,0.11395264,0.21057129,0.044433594,0.19677734,0.030029297,0.044281006,0.01789856,0.1973877,0.050201416,0.041534424,0.056854248,0.007205963,0.059661865,0.06677246,0.10430908,0.07006836,0.09020996,0.021591187,0.015335083,0.04876709,0.03010559,0.028335571,0.02355957,0.055725098,0.06585693,0.043029785,0.16809082,0.06652832,0.04055786,0.081604004,0.07940674,0.02268982,0.026138306,0.045959473,0.03463745,0.03173828,0.01751709
airbag_01b.jpg,0.3557129,0.017044067,0.020523071,0.08880615,0.20117188,0.0088272095,0.051361084,0.19958496,0.027114868,0.072387695,0.01637268,0.027114868,0.060638428,0.047088623,0.056640625,0.01574707,0.031341553,0.03970337,0.022369385,0.007575989,0.04510498,0.012550354,0.023025513,0.0184021,0.018371582,0.07489014,0.01272583,0.031341553,0.032073975,0.005630493,0.0043754578,0.036621094,0.029083252,0.010734558,0.004722595,0.015220642,0.0070381165,0.040771484,0.038970947,0.013771057,0.03567505,0.036712646,0.038848877,0.035339355,0.017745972,0.006679535,0.011428833,0.005947113,0.00818634
airboat_01s.jpg,0.30664062,0.004348755,0.09057617,0.022369385,0.07501221,0.031311035,0.25756836,0.4152832,0.050201416,0.030731201,0.009124756,0.017303467,0.04385376,0.1315918,0.006134033,0.024887085,0.0109939575,0.018493652,0.0049095154,0.04525757,0.30395508,0.008644104,0.012969971,0.003900528,0.0079193115,0.030700684,0.036712646,0.020843506,0.07733154,0.0039749146,0.003545761,0.019714355,0.02532959,0.0031108856,0.009727478,0.00983429,0.0026721954,0.010948181,0.029373169,0.012756348,0.028305054,0.07220459,0.06384277,0.014572144,0.025421143,0.0037727356,0.015289307,0.006290436,0.0056419373
aircraft_carrier_01b.jpg,0.4609375,0.0043792725,0.077819824,0.008293152,0.021087646,0.022216797,0.09844971,0.41674805,0.030822754,0.022628784,0.020645142,0.018157959,0.19677734,0.047424316,0.034301758,0.056640625,0.06768799,0.026382446,0.01033783,0.0491333,0.5390625,0.049224854,0.023239136,0.008644104,0.01991272,0.023910522,0.10632324,0.02748108,0.18066406,0.01737976,0.023422241,0.03390503,0.060302734,0.010673523,0.03010559,0.036071777,0.0073165894,0.026855469,0.062561035,0.009521484,0.028808594,0.08270264,0.03704834,0.016403198,0.023773193,0.010292053,0.037475586,0.010757446,0.013328552
